Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
MFEN    121.17247       24.08216        32.7กำ0.6       300.3กำ0.6      3.8กำ1.3        2007~2014    
MIAO    120.81026       24.58345        4.4กำ0.5        303กำ4.3        -1.2กำ1.7       2007~2014    
MINS    120.7209        23.2754         32.8กำ0.8       280.9กำ1        5.7กำ2.6        2007~2012    
MITO    120.26315       22.79585        25.6กำ1.6       254.8กำ2.3      -0.8กำ5.5       2007~2012.5  
MLO1    120.554         22.9            50.9กำ0.8       265.7กำ0.5      -2.2กำ3         2007~2012    
MOTN    121.02685       23.20054        33.2กำ0.8       281.5กำ0.7      3.1กำ2.4        2007~2014    
NAAO    121.81021       24.44934        19กำ0.8         152.4กำ1.6      -9กำ1.8         2007~2014    
NANK    120.27439       23.10199        5.9กำ0.4        264.2กำ1.9      -2.1กำ1.5       2007~2014    
NCKU    120.27581       22.93845        23.5กำ0.5       267.6กำ0.5      2.7กำ1.5        2007~2014    
NDHU    121.55081       23.89724        33.5กำ0.8       302.9กำ1        -6.1กำ1.9       2007~2014    
NEMN    120.42008       22.90812        38.3กำ0.5       262.7กำ0.5      7.8กำ1.9        2007~2014    
NHSI    121.45301       23.40621        64.6กำ0.7       315.8กำ0.5      -3กำ2.7         2007~2014    
NIUT    121.56158       24.63478        8.3กำ0.8        45กำ4.1         3.2กำ4          2007~2014    
NJOU    120.57141       22.50389        57.2กำ0.6       269.1กำ0.4      -11.8กำ2.6      2007~2014    
NSAN    121.3828        24.4282         11.3กำ0.9       341.4กำ3.5      7.1กำ2.9        2007~2014    
NSHE    120.8009        24.22579        11.5กำ0.4       294.1กำ1.5      0.8กำ1.6        2007~2014    
PAKU    120.63603       23.91568        4.8กำ0.4        290.7กำ2.8      -2.3กำ1.7       2007~2014    
PANG    119.56374       23.5652         0.8กำ0.3        104กำ13.9       -1.1กำ1.5       2007~2014    
PAOL    120.70287       23.10862        44.5กำ0.9       273.5กำ0.6      12.7กำ1.7       2007~2014    
PAOS    120.95028       24.71492        5.3กำ0.6        339.2กำ5.2      0.9กำ1.7        2007~2014    
PEI1    120.169         23.294          5.8กำ1.3        251.9กำ7.4      -14กำ4.9        2007~2014    
PEIN    121.12313       22.80107        48.5กำ0.6       281.4กำ0.5      1.8กำ2.2        2007.2~2013.9
PENL    120.97604       24.53884        9.7กำ2.1        324.7กำ9.2      -2.2กำ7.1       2007~2014    
PEPU    121.61034       24.01788        19.9กำ1         296.2กำ2.2      -5.5กำ2.6       2007~2014    
PING    121.45434       23.31946        68กำ0.5         314.6กำ0.3      -1.3กำ1.9       2007~2014    
PINT    120.64056       23.75606        4.5กำ0.5        305.1กำ4.3      -4กำ1.3         2007~2014    
PLAN    121.0866        24.57895        9กำ0.6          353กำ3.2        -1.4กำ2.3       2007~2014    
PLIN    121.71395       24.93362        1.7กำ0.9        54.5กำ21.2      3.5กำ3.2        2007~2014    
PNCY    122.07944       25.6275         1.1กำ0.7        37.9กำ26.8      -2.3กำ3.1       2009~2013.4  
PTUN    120.45968       22.64985        57.5กำ0.9       260.2กำ0.5      5.8กำ3.7        2007~2014    
PUSN    120.52011       23.96494        1.1กำ2.2        248.2กำ76.9     -8.8กำ6.1       2007~2014    
RENI    120.50857       23.45894        13.3กำ0.4       285.3กำ1.3      0.8กำ1.3        2007~2014    
S011    120.33945       23.20542        8.5กำ0.8        276.8กำ4.1      0กำ1.4          2007~2014    
S012    120.48826       23.05947        34.7กำ0.5       273.5กำ0.5      4.8กำ1.5        2007~2014    
S016    120.80286       24.17955        13กำ0.4         285.2กำ1.3      -1.3กำ1.2       2007~2014    
S101    121.61385       25.04045        3.1กำ0.4        50.2กำ5.5       -2.1กำ1.5       2007~2014    
