>>time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019/7/22,35.6425,-117.4436667,3.69,3.02,ml,74,38,0.02783,0.14,ci,ci38625775,2020-01-29T22:20:03.700Z,"14km SSW of Searles Valley, CA",earthquake,0.09,0.22,0.153,179,reviewed,ci,ci
2019/7/22,33.996,-116.0445,7.94,2.66,ml,53,47,0.1094,0.2,ci,ci38625511,2019-07-25T01:40:57.218Z,"16km S of Twentynine Palms, CA",earthquake,0.26,0.91,0.121,25,automatic,ci,ci
2019/7/22,35.8518333,-117.6615,5.41,3.09,ml,72,18,0.04864,0.14,ci,ci38625223,2020-01-29T21:29:44.120Z,"24km ESE of Little Lake, CA",earthquake,0.09,0.31,0.155,226,reviewed,ci,ci
2019/7/22,35.5335,-117.3583333,9.1,2.75,ml,47,49,0.009916,0.14,ci,ci38624647,2019-07-23T04:44:27.276Z,"26km S of Trona, CA",earthquake,0.14,0.25,0.131,89,reviewed,ci,ci
2019/7/22,33.9958333,-116.0445,7.88,4.2,mw,136,34,0.1096,0.17,ci,ci38624623,2020-01-15T18:13:49.998Z,"16km S of Twentynine Palms, CA",earthquake,0.11,0.36,,6,reviewed,ci,ci
2019/7/22,36.0808333,-117.8473333,2.25,2.84,ml,34,53,0.03717,0.17,ci,ci38623663,2019-07-22T13:40:17.830Z,"10km ENE of Coso Junction, CA",earthquake,0.23,0.35,0.166,25,automatic,ci,ci
2019/7/22,35.8101667,-117.6393333,3.34,2.77,ml,36,41,0.03445,0.18,ci,ci38622775,2019-08-06T22:50:49.864Z,"21km N of Ridgecrest, CA",earthquake,0.2,0.7,0.154,25,automatic,ci,ci
2019/7/22,35.9571667,-117.7136667,3.13,3.13,ml,51,35,0.05218,0.15,ci,ci38622679,2019-10-04T16:37:36.040Z,"18km E of Little Lake, CA",earthquake,0.12,0.36,0.175,160,reviewed,ci,ci
2019/7/22,35.8765,-117.7125,4.66,2.96,ml,57,23,0.08005,0.13,ci,ci38620383,2020-01-30T22:52:36.680Z,"19km ESE of Little Lake, CA",earthquake,0.1,0.28,0.127,25,reviewed,ci,ci
2019/7/22,35.7406667,-117.521,2.74,2.57,ml,37,60,0.09738,0.18,ci,ci38620287,2019-07-22T00:30:40.340Z,"11km WSW of Searles Valley, CA",earthquake,0.2,0.4,0.212,26,automatic,ci,ci
2019/7/21,35.6985,-117.5431667,10.06,3.01,ml,61,30,0.07917,0.15,ci,ci38618447,2019-10-04T16:37:33.040Z,"15km WSW of Searles Valley, CA",earthquake,0.11,0.26,0.152,162,reviewed,ci,ci
2019/7/21,35.3426667,-117.9196667,7.11,2.55,ml,52,38,0.09636,0.17,ci,ci38618271,2019-07-21T16:44:31.500Z,"25km NNE of California City, CA",earthquake,0.21,1.08,0.196,26,automatic,ci,ci
2019/7/21,35.6085,-117.3521667,1.36,2.56,ml,35,77,0.08115,0.19,ci,ci38618095,2019-07-21T15:54:43.142Z,"18km S of Trona, CA",earthquake,0.27,0.5,0.166,25,automatic,ci,ci
2019/7/21,35.8138333,-117.6386667,6.15,2.59,ml,37,51,0.03351,0.16,ci,ci38617775,2019-07-21T15:04:09.020Z,"22km N of Ridgecrest, CA",earthquake,0.2,0.69,0.149,25,automatic,ci,ci
2019/7/21,35.6561667,-117.5133333,9.98,3.14,ml,62,30,0.05678,0.14,ci,ci38616919,2019-10-04T16:37:31.040Z,"15km ENE of Ridgecrest, CA",earthquake,0.11,0.21,0.143,259,reviewed,ci,ci
2019/7/21,35.6078333,-117.4756667,8.48,3.21,ml,53,43,0.01611,0.13,ci,ci38616607,2019-10-04T16:37:31.040Z,"18km E of Ridgecrest, CA",earthquake,0.11,0.23,0.187,125,reviewed,ci,ci
2019/7/21,35.677,-117.509,4.8,2.85,ml,37,45,0.07047,0.14,ci,ci38616575,2019-07-21T10:44:35.610Z,"14km SW of Searles Valley, CA",earthquake,0.19,0.44,0.121,25,automatic,ci,ci
2019/7/21,35.7788333,-117.6176667,8.45,3.03,ml,34,53,0.04031,0.16,ci,ci38615791,2019-10-04T16:37:30.040Z,"18km NNE of Ridgecrest, CA",earthquake,0.18,0.44,0.166,113,reviewed,ci,ci
2019/7/21,35.6415,-117.4498333,2.66,2.56,ml,38,56,0.03177,0.16,ci,ci38615559,2019-07-23T00:40:47.310Z,"15km SSW of Searles Valley, CA",earthquake,0.15,0.24,0.159,142,reviewed,ci,ci
