# lon lat depth mag.
121.457 23.661 1.9 3.17
122.029 24.815 4.0 3.32
122.492 24.682 8.3 4.5
122.441 24.646 3.4 3.02
120.451 24.572 13.0 3.67
121.815 23.828 4.4 3.82
122.534 24.596 5.3 3.21
120.506 24.519 13.7 3.3
121.605 21.810 64.0 4.35
122.149 24.149 2.3 3.5
122.504 24.572 8.2 3.46
122.239 22.439 16.8 4.49
121.436 23.652 8.6 3.11
121.596 23.523 26.9 3.2
121.977 24.766 78.7 3.27
121.501 23.628 16.9 3.01
122.645 25.201 201.2 4.04
121.755 23.973 28.7 3.09
120.746 22.636 27.7 3.65
121.769 24.175 50.1 3.35
121.995 23.948 10.5 3.39
121.414 23.629 20.8 3.09
122.844 24.420 28.0 4.61
120.849 23.862 12.4 3.79
121.630 23.489 24.6 3.63
120.858 23.856 11.0 3.54
122.171 24.278 12.8 3.23
122.512 24.513 22.7 3.63
122.099 24.778 21.4 3.82
121.734 24.007 7.7 3.14
122.624 24.641 62.6 3.52
122.157 24.558 41.0 3.01
121.141 22.043 21.6 3.83
121.390 24.118 55.7 3.78
122.677 23.892 15.7 4.32
121.485 22.848 22.5 3.38
122.338 24.892 15.1 3.19
122.512 24.900 9.2 3.46
121.727 23.474 28.6 3.59
121.736 23.907 18.2 3.26
120.903 24.251 34.7 3.78
122.331 24.555 62.5 3.33
121.459 23.023 8.7 3.38
121.246 23.076 0.7 3.14
121.123 22.894 8.0 3.01
121.936 24.410 17.9 3.27
122.934 23.460 3.6 4.29
122.604 24.058 1.7 3.75
121.795 23.037 29.1 3.54
122.156 24.252 1.4 3.23
122.415 24.601 72.4 3.21
122.410 23.755 12.0 3.63
121.763 23.638 11.4 3.04
121.486 23.733 2.0 3.18
122.434 24.621 61.2 3.52
120.455 23.553 7.6 3.51
121.692 24.534 1.8 3.07
122.503 24.359 37.3 4.35
122.373 24.011 1.6 3.65
122.499 24.372 35.8 3.93
121.773 23.336 21.3 3.74
121.707 23.614 9.3 3.35
120.678 22.803 23.4 3.32
122.428 24.558 33.3 3.51
121.460 23.900 2.2 3.07
122.069 24.196 2.0 3.1
121.571 23.015 11.6 3.39
121.995 24.669 56.9 3.17
122.085 24.290 5.1 3.65
121.814 24.300 45.5 3.14
122.723 24.522 5.1 4.04
121.547 23.113 29.8 3.4
122.084 24.834 78.1 3.03
121.647 23.373 33.1 3.59
121.544 23.708 0.8 3.22
120.343 23.118 17.3 4.55
122.525 24.732 86.1 3.15
122.370 23.802 16.2 3.66
122.244 24.761 77.7 3.37
121.870 24.861 85.9 3.02
120.936 22.707 15.5 3.65
120.979 21.861 10.7 4.94
122.370 24.651 1.3 3.12
121.977 24.344 23.5 3.59
121.842 24.064 48.5 3.23
121.632 23.184 40.2 3.1
122.009 23.987 30.4 3.38
122.067 24.344 85.5 3.38
120.832 23.094 2.0 3.28
120.717 22.956 0.5 3.92
120.825 23.086 0.7 3.32
120.692 22.250 15.1 3.01
120.840 23.082 2.0 3.11
121.990 24.873 75.1 3.17
120.837 23.091 1.0 3.3
122.044 24.309 2.0 3.1
120.786 23.037 6.0 4.04
120.781 23.039 2.5 3.59
120.760 22.994 7.7 3.27
120.794 23.040 7.1 3.38
120.776 23.032 3.1 3.92
120.793 23.034 5.2 3.95
120.763 23.018 7.9 3.39
121.687 24.073 28.4 3.14
122.075 23.330 19.1 3.83
120.772 23.015 5.5 3.23
120.842 23.084 0.9 3.29
121.179 22.320 7.2 3.66
122.158 23.175 3.1 3.7
120.942 23.634 0.1 3.22
121.643 24.216 13.4 3.49
122.062 24.300 6.7 3.15
121.954 23.021 17.6 4.08
121.826 23.931 8.8 3.84
121.445 23.775 2.3 3.3
121.648 24.276 33.3 3.04
121.615 22.995 6.7 3.49
121.723 23.478 26.0 3.45
121.536 23.687 4.5 3.52
120.835 23.074 9.5 3.2
120.840 23.079 6.9 3.12
121.674 23.944 26.3 3.82
121.582 23.695 1.7 3.69
121.639 23.511 27.4 3.41
122.673 24.179 28.6 4.77
121.441 22.212 13.6 3.13
121.737 23.857 35.6 3.15
122.914 24.804 104.4 3.85
121.327 23.470 0.2 3.26
122.216 22.973 11.2 3.91
122.078 23.919 10.0 4.4
121.836 24.156 5.2 3.98
121.799 24.159 8.3 3.4
120.888 24.565 7.3 3.69
121.803 24.151 6.3 3.95
121.911 24.806 105.6 3.37
122.267 24.530 5.0 3.0
121.380 23.459 0.6 3.48
122.020 24.370 23.0 3.73
122.004 24.363 25.4 3.17
122.010 24.345 22.2 3.04
122.934 23.446 2.4 3.99
121.542 23.138 31.4 3.23
121.989 23.759 22.5 3.66
121.610 24.428 10.3 3.03
120.949 24.195 32.2 3.83
121.868 23.478 18.4 3.67
121.746 23.809 6.4 3.37
122.888 24.690 96.9 4.16
121.696 23.307 25.9 3.93
120.765 23.112 1.5 3.3
120.985 23.787 18.4 3.02
121.458 23.817 8.7 3.23
121.968 24.380 23.5 3.27
121.646 22.859 3.3 3.41
121.712 23.124 4.1 3.11
122.012 24.354 18.3 3.4
122.031 24.371 27.0 3.14
122.062 24.206 26.9 3.26
122.254 24.691 83.2 3.26
121.354 22.693 27.4 3.09
120.901 22.882 1.2 3.15
121.942 23.791 28.5 3.67
121.704 23.430 25.8 3.21
122.589 24.361 56.1 3.8
121.678 23.174 23.2 3.92
121.678 24.051 51.5 3.73
121.990 24.814 76.7 3.07
122.048 24.328 20.1 3.23
121.497 23.896 3.8 3.17
122.423 24.844 10.3 3.51
121.696 24.193 33.1 3.42
121.978 24.332 22.3 4.19
121.274 23.506 0.8 3.18
121.793 24.258 8.9 3.18
122.289 24.445 32.0 3.56
121.851 24.769 87.5 3.48
121.571 23.678 0.5 4.06
121.559 23.706 1.8 3.67
121.445 23.803 5.7 3.65
121.966 23.737 18.0 3.55
121.836 24.317 4.6 3.18
121.502 23.742 1.3 3.48
122.103 24.572 63.0 3.09
121.786 23.793 6.5 3.73
120.570 23.022 26.7 3.19
122.979 24.395 27.1 3.88
122.549 24.893 12.1 3.39
122.461 24.674 8.0 4.57
121.420 23.714 5.2 3.02
122.659 24.731 10.0 4.3
122.494 24.695 10.4 3.97
122.484 24.937 14.3 3.27
121.467 23.703 4.8 3.26
121.951 24.333 23.7 3.05
