> AF-AN     
-151.329    -59.469                  
-147.692    -57.555                  
-144.857    -55.784                  
-144.482    -55.91                   
-143.324    -56.263                  
-142.086    -56.619                  
-141.211    -56.839                  
-139.191    -55.725                  
-137.89     -53.568                  
-137.522    -53.688                  
-136.18     -53.396                  
-135.307    -53.643                  
-134.205    -53.887                  
-132.87     -54.237                  
-132.126    -54.432                  
-131.375    -54.623                  
-130.059    -54.931                  
-129.345    -55.129                  
-128.624    -55.321                  
-126.8      -55.064                  
-126.197    -55.138                  
-125.077    -55.454                  
-124.262    -55.587                  
-123.442    -55.715                  
-122.655    -55.873                  
-120.663    -54.41                   
-119.685    -54.642                  
-117.661    -53.124                  
-116.388    -49.368                  
-115.233    -49.589                  
-114.556    -49.721                  
-112.426    -45.854                  
-111.349    -42.2                    
-110.391    -38.986                  
-110.471    -36.41                   
-110.579    -35.83                   
> AN-SA
-1.039      -55.019                  
-1.614      -55.653                  
-2.08       -55.657                  
-2.896      -55.707                  
-3.72       -55.74                   
-4.056      -55.769                  
-4.693      -56.592                  
-5.448      -56.627                  
-6.13       -57.24                   
-6.538      -57.27                   
-7.009      -57.869                  
-7.525      -57.92                   
-8.607      -57.989                  
-9.885      -58.091                  
-11.19      -58.158                  
-12.649     -58.241                  
-13.954     -58.317                  
-15.069     -58.39                   
-16.41      -59.098                  
-16.917     -59.098                  
-17.667     -59.129                  
-18.123     -59.509                  
-18.646     -60.25                   
-19.581     -60.811                  
-20.651     -60.782                  
-21.719     -60.744                  
-22.914     -60.723                  
-24.107     -60.692                  
-25.094     -60.545                  
> TI-AU
124.734     -10.39                   
125.159     -10.159                  
126.333     -9.596                   
126.853     -9.39                    
127.43      -9.221                   
127.9       -9.133                   
> AU-PA
174.988     -42.122                  
> PA-NI
-174.754    -14.334                  
-174.083    -14.379                  
> PA-TO
-173.836    -14.534                  
> PA/AU
162.484     -11.421                  
163.195     -11.291                  
163.505     -11.238                  
164.151     -11.144                  
> CA-NA
-63.36      19.691                   
-63.76      19.724                   
-64.344     19.779                   
-65.129     19.833                   
-65.694     19.829                   
-66.259     19.825                   
-67.04      19.754                   
-67.531     19.721                   
-68.022     19.687                   
-68.853     19.589                   
-71.277     20.201                   
-71.804     20.267                   
-72.332     20.331                   
-76.356     19.845                   
-76.983     19.747                   
-77.673     19.623                   
-78.361     19.497                   
-79.011     19.382                   
-79.66      19.264                   
-80.21      19.16                    
-80.758     19.054                   
-81.256     18.96                    
-81.625     17.802                   
-82.244     17.691                   
-82.865     17.626                   
-83.706     17.481                   
-84.248     17.344                   
-84.91      17.107                   
-85.671     16.911                   
-86.32      16.694                   
> CA-SA
-58.639     10.19                    
> CO-PA
-105.32     15.108                   
-103.772    11.89                    
-103.598    10.123                   
-104.229    8.34                     
-103.595    8.37                     
-102.184    3.778                    
> CO-NZ
-98.918     2.112                    
-97.551     2.088                    
-96.175     1.873                    
-95.224     2.222                    
-92.09      2.2                      
-91.538     2.011                    
-90.697     1.736                    
-85.386     0.832                    
-84.576     1.598                    
-84.571     2.066                    
-84.567     2.534                    
-82.806     3.118                    
-82.875     3.595                    
-82.875     4.072                    
-82.875     4.563                    
-82.875     5.054                    
-82.875     5.833                    
-82.875     6.562                    
-82.875     7.118                    
> NA-EU
-14.734     70.389                   
-13.892     70.816                   
-13.396     70.772                   
-12.905     70.698                   
-11.356     71.052                   
-11.865     71.147                   
-11.37      71.774                   
-10.356     71.615                   
-9.393      71.456                   
-7.941      71.217                   
-5.699      71.54                    
-5.157      71.431                   
-4.072      71.491                   
7.785       78.235                   
6.776       78.444                   
5.592       78.641                   
4.691       78.806                   
3.857       78.95                    
4.39        79.533                   
3.296       79.658                   
2.378       79.78                    
1.487       79.909                   
0.628       80.026                   
-0.251      80.142                   
-0.969      80.213                   
-1.766      80.309                   
-1.684      80.625                   
-2.942      80.756                   
-2.414      81.126                   
-3.454      81.251                   
-3.7        82.328                   
-5.865      82.691                   
4.035       84.597                   
8.938       85.009                   
46.314      86.561                   
66.544      86.655                   
69.752      86.472                   
-29.588     40.106                   
-29.56      40.599                   
-29.229     41.215                   
-29.162     41.91                    
-29.223     42.289                   
-29.321     42.715                   
-29.317     43.081                   
-28.796     43.768                   
-28.435     44.198                   
-28.106     44.909                   
-28.076     45.127                   
-27.972     45.344                   
-27.924     45.466                   
-27.877     45.536                   
-27.739     45.878                   
-27.677     45.985                   
-27.565     46.213                   
-27.436     46.755                   
-27.463     47.658                   
-27.76      48.585                   
-27.889     48.609                   
-28.562     49.639                   
-28.718     49.653                   
-30.026     52.03                    
-30.376     52.057                   
-30.807     52.095                   
-31.058     52.105                   
-31.257     52.42                    
-31.582     52.465                   
-31.866     52.504                   
-32.054     52.516                   
-32.359     52.556                   
-32.649     52.581                   
-32.857     52.595                   
-33.02      52.615                   
-33.335     52.628                   
-33.712     52.648                   
-34.174     52.663                   
-34.572     52.682                   
-34.925     52.708                   
-34.884     52.704                   
-35.011     52.704                   
-35.183     53.21                    
-35.246     53.512                   
-35.121     54.308                   
-35.313     54.327                   
-35.212     54.971                   
-34.877     55.848                   
-34.44      56.499                   
-34.218     56.746                   
-33.978     56.902                   
-33.796     56.883                   
-33.682     56.871                   
-33.497     57.264                   
-33.377     57.265                   
-32.918     57.667                   
-32.472     58.006                   
-31.745     58.468                   
-30.977     58.976                   
> PA-JF
-124.742    40.313                   
-125.45     40.354                   
-126.159    40.39                    
-126.869    40.422                   
-127.579    40.539                   
-127.56     41.589                   
-126.627    43.014                   
-127.571    43.419                   
-128.528    43.818                   
-129.498    44.208                   
-129.869    45.896                   
-129.803    46.433                   
-128.938    47.727                   
-128.919    48.869                   
-129.705    49.177                   
-130.162    50.217                   
> NA/PA
165.771     54.588                   
168.188     53.569                   
-113.909    29.982                   
-112.321    28.125                   
-112.015    27.906                   
-111.711    27.694                   
-111.506    27.57                    
-111.569    27.215                   
-111.506    26.927                   
-111.228    26.723                   
-110.957    26.535                   
-110.758    26.416                   
-110.778    26.225                   
-110.572    26.066                   
-110.291    25.889                   
-110.024    25.706                   
-109.872    25.607                   
-110.007    25.339                   
-109.788    25.18                    
-109.591    25.016                   
-109.35     24.857                   
-109.178    24.735                   
-109.276    24.396                   
-109.002    24.152                   
-108.806    23.984                   
-108.61     23.814                   
-108.439    23.674                   
-108.651    23.241                   
-108.388    23.082                   
> NA-SA
-60.753     19.208                   
-58.309     19.192                   
-57.493     19.052                   
-56.805     18.694                   
-56.118     18.258                   
> NZ-PA
-102.524    -1.283                   
-102.462    -1.533                   
-102.402    -1.907                   
-102.754    -2.934                   
-102.735    -4.056                   
-103.637    -3.951                   
-104.699    -4.152                   
-105.544    -4.569                   
-106.587    -5.624                   
-106.752    -6.019                   
-106.95     -6.443                   
-108.32     -9.145                   
-109.038    -9.035                   
