> AF-AN
-91.604     -39.349                   
-93.022     -38.967                   
-93.996     -38.482                   
-94.093     -37.717                   
-97.413     -36.871                   
-108.797    -35.132                   
> PA-AN
163.202     -62.66                    
163.773     -62.475                   
164.275     -62.322                   
164.768     -62.177                   
166.858     -63.221                   
173.631     -64.738                   
174.242     -64.508                   
174.814     -64.315                   
175.162     -64.174                   
-178.793    -66.163                   
-177.926    -65.862                   
-177.072    -65.607                   
-174.418    -65.835                   
-173.709    -65.506                   
-172.517    -64.978                   
-170.043    -64.858                   
-169.839    -64.764                   
-169.109    -64.245                   
-168.379    -63.73                    
-167.513    -63.106                   
-163.921    -63.467                   
-163.001    -62.967                   
-160.43     -62.923                   
-158.703    -63.004                   
-156.717    -63.324                   
-156.022    -62.952                   
-155.254    -62.433                   
-154.181    -61.836                   
-153.661    -61.399                   
-152.943    -60.841                   
-152.119    -60.158                   
-150.382    -59.718                   
-149.809    -59.314                   
-149.264    -58.822                   
-148.276    -58.13                    
-147.167    -57.638                   
-146.681    -57.308                   
-145.979    -56.669                   
-145.412    -56.228                   
-140.325    -57.053                   
-140.041    -56.772                   
-139.545    -56.268                   
-139.578    -55.615                   
-139.253    -55.251                   
-138.799    -54.712                   
-138.338    -54.141                   
-136.59     -53.907                   
-127.231    -55.565                   
-121.862    -56.026                   
-121.635    -55.832                   
-121.228    -55.219                   
-118.581    -54.819                   
-118.313    -54.35                    
-118.037    -53.691                   
-118.977    -52.897                   
-118.875    -52.752                   
-118.422    -52.212                   
-118.12     -51.772                   
-117.824    -51.331                   
-117.522    -50.875                   
-117.225    -50.418                   
-116.802    -49.893                   
-113.875    -49.849                   
-113.745    -49.357                   
-113.528    -48.841                   
-113.315    -48.324                   
-113.131    -47.773                   
-112.95     -47.222                   
-112.685    -46.539                   
-112.675    -45.833                   
-112.55     -45.494                   
-112.381    -44.938                   
-112.216    -44.381                   
-111.971    -43.774                   
-111.73     -43.166                   
-111.538    -42.683                   
-110.954    -42.249                   
-110.832    -41.355                   
-110.754    -40.76                    
-110.677    -40.164                   
-110.533    -39.575                   
-111.27     -38.979                   
-111.268    -38.878                   
-111.067    -38.276                   
-110.869    -37.674                   
-110.668    -37.042                   
-110.739    -36.358                   
-110.715    -36.219                   
-110.895    -35.797                   
-110.877    -35.319                   
> AN-SA
-0.438      -54.852                   
-1.606      -55.129                   
-4.691      -55.807                   
-4.675      -56.21                    
-6.057      -56.672                   
-6.094      -56.982                   
-6.999      -57.318                   
-7.013      -57.617                   
-15.972     -58.439                   
-16.005     -58.459                   
-16.226     -58.767                   
-18.06      -59.153                   
-18.433     -59.542                   
-18.547     -59.938                   
-19.371     -60.289                   
> KE-AU
-177.793    -25.976                   
-178.017    -26.767                   
-178.248    -27.376                   
-178.713    -28.693                   
-179.226    -30.355                   
-179.393    -30.997                   
-179.515    -31.333                   
-179.74     -31.751                   
179.98      -32.347                   
179.657     -33.019                   
179.345     -33.602                   
178.681     -34.786                   
178.403     -35.161                   
177.89      -35.917                   
> PA-NI
-176.346    -14.634                   
-175.865    -14.478                   
-175.309    -14.407                   
> AU-WL
151.654     -9.76                     
> CA-NA
-81.754     18.865                    
-81.689     18.333                    
> CO-PA
-105.586    17.881                    
-105.399    17.768                    
-105.367    17.031                    
-105.398    16.26                     
-105.357    15.558                    
-104.69     15.274                    
-104.563    14.672                    
-104.437    14.07                     
-104.181    13.328                    
-103.927    12.587                    
-103.875    11.872                    
-103.807    11.405                    
-103.739    10.937                    
-103.628    10.275                    
-104.296    10.017                    
-104.296    9.175                     
-104.258    8.456                     
-102.961    8.4                       
-102.81     7.791                     
-102.659    7.182                     
-102.558    6.355                     
-102.457    5.529                     
-102.32     4.653                     
-102.259    3.751                     
-102.199    3.458                     
> CO-NZ
-99.739     2.269                     
-99.657     2.19                      
-98.889     2.213                     
-98.367     2.145                     
-97.846     2.077                     
-97.585     1.898                     
-96.88      1.886                     
-96.12      2.238                     
-95.198     2.507                     
-94.404     2.44                      
-93.611     2.372                     
-92.928     2.3                       
-92.245     2.227                     
-92.118     1.99                      
-91.561     1.817                     
-90.663     1.12                      
-89.784     1.073                     
-88.904     1.025                     
-88.024     0.977                     
-87.145     0.929                     
-86.266     0.88                      
-85.349     1.644                     
-84.467     3.112                     
-83.923     3.139                     
-83.378     3.165                     
> NA-EU
-15.716     69.55                     
-15.425     69.84                     
-15.024     70.169                    
-14.448     70.354                    
-14.237     70.517                    
-14.036     70.726                    
-12.255     70.563                    
-12.009     70.706                    
-11.669     70.876                    
-12.359     71.252                    
-12.106     71.396                    
-11.714     71.588                    
-7.375      71.125                    
-6.9        71.282                    
-6.333      71.387                    
-5.917      71.465                    
-4.741      71.333                    
-4.36       71.432                    
-3.692      71.398                    
-2.937      71.5                      
-2.399      71.592                    
-1.743      71.685                    
-0.975      71.815                    
-0.392      71.91                     
0.281       72.015                    
0.901       72.134                    
1.991       72.328                    
2.781       72.433                    
3.609       72.58                     
4.3         72.697                    
4.97        72.821                    
5.586       72.924                    
6.055       73.019                    
6.782       73.145                    
7.071       73.203                    
7.391       73.252                    
7.791       73.371                    
8.15        73.427                    
8.386       73.485                    
8.652       73.534                    
8.838       73.628                    
8.957       73.706                    
9.037       73.758                    
9.14        73.882                    
9.203       73.979                    
9.208       74.096                    
9.153       74.233                    
9.133       74.377                    
8.984       74.543                    
8.781       74.763                    
8.63        74.946                    
8.46        75.076                    
8.212       75.188                    
7.946       75.382                    
7.842       75.527                    
7.603       75.729                    
7.593       75.981                    
7.515       76.117                    
7.48        76.279                    
7.557       76.431                    
7.563       76.602                    
7.615       76.799                    
7.622       76.969                    
7.672       77.148                    
7.809       77.479                    
7.88        77.712                    
7.771       77.911                    
7.827       78.09                     
3.432       79.03                     
3.901       79.228                    
-2.341      80.37                     
-3.364      80.792                    
-2.779      80.993                    
-4.641      81.37                     
-4.152      81.552                    
-3.909      81.62                     
-5.033      81.913                    
-4.537      82.05                     
-3.796      82.29                     
-5.01       82.519                    
-7.212      82.868                    
-6.234      83                        
-5.154      83.249                    
-4.148      83.43                     
-3.204      83.57                     
-2.363      83.69                     
-1.206      83.864                    
-0.469      83.996                    
0.405       84.102                    
1.301       84.223                    
2.235       84.343                    
3.024       84.462                    
3.848       84.561                    
4.508       84.57                     
5.177       84.632                    
6.665       84.762                    
8.134       84.898                    
9.809       84.958                    
10.659      85.067                    
11.704      85.137                    
13.242      85.281                    
14.666      85.38                     
16.063      85.485                    
17.89       85.591                    
19.285      85.684                    
21.343      85.799                    
23.347      85.817                    
25.383      85.859                    
27.427      85.867                    
28.143      85.874                    
29.229      85.81                     
30.972      85.908                    
33.34       86.053                    
35.607      86.161                    
38.301      86.291                    
41.756      86.432                    
43.479      86.496                    
46.063      86.598                    
47.523      86.641                    
50.77       86.706                    
54.561      86.746                    
58.018      86.787                    
61.506      86.805                    
62.463      86.755                    
66.301      86.606                    
68.208      86.306                    
70.926      86.203                    
72.984      86.106                    
75.029      85.989                    
76.326      85.917                    
78.403      85.768                    
81.103      85.639                    
83.143      85.556                    
84.802      85.5                      
86.802      85.418                    
88.486      85.346                    
89.98       85.296                    
92.313      85.229                    
94.155      85.155                    
