==============================================================================================
There are 77 records found

Search criteria:
  Start: 1996-03-28		End: 2020-04-21
  6.0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Archived Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2006-04-15,22:40:55.37,22.8555,121.3035,17.90,6.04,218.61,38.02,132.88,348.92,63.17,61.99,0.329691,-5.354550,5.024859,1.689611,-2.541462,-3.236732,5.024859,0.329691,-5.354550,-2.541462,3.236730,-1.689610,24,6.8414e+24,5.83,19,21.5,0.0,0.344,201.600,7,98.915,13.763,2.423,24.779,-144.641,61.188,B3
2006-07-28,07:40:10.43,23.9661,122.6580,27.97,6.02,285.07,34.95,118.48,71.57,59.77,71.57,-5.039068,0.400806,4.638262,0.148792,2.195254,-1.695180,4.638262,-5.039068,0.400806,2.195254,1.695180,-0.148792,24,5.59e+24,5.77,32,2.2,0.0,0.346,248.100,7,174.831,12.916,81.097,15.853,-57.731,69.331,B1
2006-08-27,17:11:16.96,24.7983,123.0656,135.26,6.00,206.31,9.25,37.70,78.98,84.36,97.35,-0.267353,0.037245,0.230108,0.271126,1.437008,-0.285787,0.230108,-0.267353,0.037245,1.437008,0.285787,-0.271126,24,1.51099e+24,5.39,123,16.7,0.0,0.310,319.700,7,162.301,38.932,-101.753,7.307,-2.925,50.123,B2
2006-10-09,11:08:24.97,20.7665,119.9251,8.00,6.05,146.61,38.25,-57.93,288.03,58.35,-112.71,2.013455,1.092609,-3.106065,1.779685,1.730591,-0.306762,-3.106065,2.013455,1.092609,1.730591,0.306762,-1.779680,24,3.7019e+24,5.65,25,9.1,0.0,0.673,333.400,7,151.603,67.860,-59.590,19.191,34.153,10.623,C1
2006-10-09,10:01:45.63,20.6953,119.8285,28.00,6.06,338.76,28.94,-102.63,173.12,61.82,-83.11,0.376850,1.918500,-2.282761,0.445692,0.020950,-1.442704,-2.282761,0.376850,1.918500,0.020950,1.442700,-0.445692,25,2.60716e+25,6.21,25,21.5,0.2,0.621,305.300,7,99.337,72.306,-10.145,6.074,-101.958,16.554,C3
2006-12-26,12:26:21.,21.6873,120.5553,44.11,6.96,168.11,44.46,-61.51,310.86,52.01,-115.09,0.719068,2.530779,-3.249847,1.609100,1.305014,-0.252347,-3.249847,0.719068,2.530779,1.305014,0.252347,-1.609100,26,3.61907e+26,6.98,40,12.0,0.0,0.548,319.600,7,159.397,70.048,-33.065,19.518,58.348,3.980,C2
2006-12-26,12:34:15.13,21.9698,120.4196,50.22,6.99,99.14,40.06,-86.91,275.11,50.01,-92.59,2.392639,-0.307766,-2.084872,0.339460,0.401382,-0.012981,-2.084872,2.392639,-0.307766,0.401382,0.012981,-0.339460,26,2.31508e+26,6.85,54,28.2,0.0,0.458,293.800,7,165.069,84.638,-83.226,1.988,6.947,4.978,B3
2007-01-25,10:59:15.54,22.6305,122.0266,25.81,6.24,243.06,68.77,168.47,337.28,79.26,21.63,3.636854,-4.896100,1.342817,3.559776,-1.375663,-1.479273,1.342817,3.636854,-4.896100,-1.375663,1.479270,-3.559780,24,6.02109e+24,5.79,18,21.3,0.4,0.559,230.800,7,108.773,7.141,2.455,65.969,-158.206,22.818,C3
2007-09-06,17:51:26.92,24.2780,122.2541,54.01,6.63,190.11,31.80,77.45,24.79,59.04,97.67,-0.484140,-2.284766,2.768905,0.589564,0.823363,-1.149832,2.768905,-0.484140,-2.284766,0.823363,1.149830,-0.589564,25,2.98468e+25,6.25,59,23.0,0.0,0.240,257.800,7,109.210,13.725,-159.177,6.575,-44.211,74.726,A3
2009-07-13,18:05:02.59,24.0228,122.2193,18.08,6.00,309.60,32.90,145.02,70.04,71.86,62.07,-1.858295,0.615275,1.243020,-0.396177,1.510805,-0.855995,1.243020,-1.858295,0.615275,1.510805,0.855995,0.396177,25,2.42088e+25,6.19,21,8.8,0.0,0.429,225.700,7,-179.051,21.932,79.406,26.427,-54.715,54.478,B1
