      lon        lat       Ve       Vn        Se       Sn      Cen     site
   241.32357   34.23567  -26.648   30.696    0.770    0.745   0.0431  ROCK_GPS
   242.81150   33.50487  -24.339   27.558    1.424    0.980   0.0081  ROSA_GPS
   241.39919   34.33004  -27.158   25.798    0.650    0.607  -0.0042  SAFE_GPS
   242.46539   33.70840  -28.974   26.926    0.801    0.744  -0.0276  SAN1_GPS
   243.72093   34.25498    2.197   11.184    2.954    1.476   0.1488  SAND_GPS
   242.48722   34.01783  -19.947   23.473    3.927    3.552   0.0309  SANO_GPS
   245.19337   30.93009  -30.787   26.005    0.774    0.693  -0.0231  SFBC_GPS
   242.75000   32.86428  -27.830   28.294    0.556    0.525  -0.0226  SIO3_GPS
   244.32247   33.42700   -4.735    2.263    0.723    0.727  -0.0296  SIPH_GPS
   242.18409   33.60174  -31.433   30.764    1.319    1.270  -0.0416  SJOA_GPS
   242.26233   33.91337  -25.889   26.691    0.674    0.621  -0.0331  SJUA_GPS
   244.16558   31.62306  -28.937   30.354    0.980    0.876  -0.0161  SM01_GPS
   240.47564   33.24787  -32.205   35.518    1.586    1.599   0.0230  SNI1_GPS
   240.99087   34.43997  -27.818   24.763    1.306    1.170  -0.1661  SNP2_GPS
   241.00173   34.38743  -28.636   29.068    0.774    0.655   0.0042  SNPA_GPS
   239.89495   33.95026  -31.814   35.507    1.256    0.878   0.2510  SNRI_GPS
   242.11682   34.04215  -27.960   23.972    1.233    0.902  -0.1045  SNTZ_GPS
   243.01925   34.90381  -10.808    8.675    1.383    1.458  -0.0350  SOAP_GPS
   240.65789   34.29786  -30.172   29.681    0.787    0.647   0.0192  SOLI_GPS
   241.64796   33.79625  -28.675   34.287    1.113    1.077   0.0247  SPJ1_GPS
   241.35384   34.05934  -28.571   29.263    1.082    1.057   0.0186  SPK1_GPS
   242.70281   34.74932  -14.266   13.531    1.819    1.849  -0.1424  SUNH_GPS
   245.19495   32.85833   -3.135   -1.814    1.356    1.129  -0.0362  T122_GPS
   242.32172   34.38185  -19.169   20.066    1.039    1.039   0.0055  TABL_GPS
   244.52166   32.88287    1.369    9.929    2.440    1.880  -0.2658  TAMA_GPS
   243.72822   33.88949   -5.325    7.825    0.891    0.888  -0.1250  THOU_GPS
   242.50310   34.13606  -23.250   18.411    1.965    2.279  -0.1817  THRT_GPS
   244.16655   33.42932   -8.168    7.996    0.725    0.714  -0.0130  TRAN_GPS
   240.52167   33.23117  -31.719   36.673    1.036    0.809  -0.0985  TWIN_GPS
   239.98189   35.48757  -19.599   22.473    1.065    0.981   0.0966  TWIS_GPS
   241.55952   34.06824  -26.532   28.122    0.664    0.630   0.0089  UCLA_GPS
   241.71489   34.02395  -27.558   29.527    0.744    0.717   0.0266  USC1_GPS
   243.44252   32.24423  -26.992   29.089    0.891    0.913   0.0110  VA01_GPS
   244.08623   33.50326  -10.909    8.212    0.710    0.698  -0.0273  VARN_GPS
   241.58191   33.97169  -31.008   29.965    1.751    1.718   0.0645  VENI_GPS
   243.81210   33.92625    2.169   14.612    2.291    2.024  -0.0920  VIEW_GPS
   244.75449   32.24463  -18.660   25.411    1.285    1.391   0.0510  VM15_GPS
   239.38443   34.55566  -32.305   36.734    0.687    0.581  -0.0007  VNDN_GPS
   243.84039   33.62781  -14.645   12.380    1.586    1.281  -0.0816  VORO_GPS
   241.92864   33.91435  -27.178   25.205    1.094    0.963  -0.0162  WD11_GPS
   241.96884   33.97988  -27.880   24.762    0.792    0.767   0.0273  WHC1_GPS
   240.98615   35.01035  -18.482   16.614    1.764    1.519   0.1702  WHEE_GPS
   241.96554   33.97381  -24.790   27.950    0.789    0.766   0.0280  WHI1_GPS
   243.59374   33.93131   -7.936   14.554    0.675    0.630  -0.0230  WIDE_GPS
   241.99759   33.99132  -27.936   25.107    0.731    0.672  -0.0350  WORK_GPS
   240.51604   34.85221  -27.639   24.324    1.689    1.349   0.0080  YAM2_GPS
   245.79677   32.93919   -2.513    1.672    1.009    0.820  -0.0644  YUMA_GPS
   242.85574   33.42983  -26.497   26.210    1.495    1.584   0.0722  YUNG_GPS
   243.11081   35.42503   -7.541    5.527    0.507    0.473  -0.0220  GOLD_cLA
   242.58161   34.94794  -12.487   12.304    1.680    1.199  -0.0912  HAWE_cLA
   242.29423   34.74280  -16.139   13.620    1.596    1.277  -0.0184  MDAY_cLA
   243.54204   33.61190  -14.347   18.126    0.527    1.594  -0.0086  PIN1_cLA
   243.72093   34.25498    1.755   -3.600    1.936    1.821  -0.0619  SAND_cLA
   241.82739   34.20447  -25.390   23.355    0.552    0.513  -0.0164  JPLM_cNR
   239.76475   35.18166  -28.523   31.996    1.499    2.341   0.4396  hath_2__
   240.09854   35.13289  -26.220   27.136    1.396    1.507  -0.0495  saltos__
   239.74930   35.07233  -29.985   32.850    1.494    2.491  -0.4729  stanley2
   240.00170   35.12500  -26.755   28.996    1.324    1.192  -0.2143  sycamore
   239.91552   35.18471  -27.460   29.310    1.383    1.079  -0.0038  allen___
   240.04514   35.26075  -25.002   26.610    1.524    1.204  -0.3693  turkey__
   239.56394   35.05974  -31.177   35.183    1.789    4.889  -0.6115  berros__
   240.27567   35.24169  -20.708   19.774    2.009    2.631   0.1886  crocker_
   240.15258   35.24955  -24.077   24.501    1.639    1.224  -0.2071  carrizo_
   240.14946   35.35764  -19.981   20.583    1.205    1.021  -0.1396  cauvel__
   240.19224   35.15306  -24.746   26.428    1.539    1.507   0.0388  painted_
   240.34638   35.44086  -11.946   13.309    3.577    2.338  -0.5711  glo_13__
   240.31857   35.35843  -10.498   16.122    1.426    1.774   0.1247  welport_
   240.68378   34.75668  -25.003   21.355    1.268    1.226   0.1562  apache__
   240.55903   34.62498  -30.011   25.121    1.258    1.351   0.0090  seco____
   240.85507   34.81247  -23.009   20.738    1.155    1.277   0.0560  mt_pinos
   240.87288   34.60596  -29.086   23.441    1.955    1.376  -0.2113  thorn___
   240.40950   34.69042  -29.374   29.001    1.235    1.896   0.0257  madulce2
   240.53384   34.53887  -30.649   25.831    1.336    1.465  -0.2035  monte___
   240.75852   34.49786  -29.078   23.451    1.452    1.288   0.1976  nordhoff
   240.56805   34.95934  -20.269   20.038    1.481    1.376   0.3918  pattiway
   240.28712   34.82235  -28.136   28.168    1.239    1.913   0.3456  salisbur
   240.52533   34.75359  -26.839   24.895    1.208    1.393   0.3042  yam_____
   242.23573   34.35801  -21.045   16.502    1.274    1.669   0.1619  bad_pow_
   241.89537   34.24616  -26.224   20.828    1.233    1.403   0.0474  dispoint
   241.76147   34.26854  -27.741   23.547    1.202    1.328   0.0779  siselsie
   241.42068   34.59516  -23.378   22.831    1.227    1.201   0.2090  warm_spr
   241.72371   34.21491  -27.988   25.086    1.247    2.029  -0.2005  dugo____
   241.80371   34.16312  -29.957   23.004    2.459    1.683   0.3650  flint___
   241.81561   34.38645  -23.945   22.194    1.158    1.355   0.0529  gln_ncer
   241.96580   34.38142  -22.824   19.936    1.141    1.332   0.0257  pacifico
   241.78161   34.45932  -21.631   22.564    1.348    1.370   0.0029  parker__
   241.78483   34.54730  -19.460   22.017    1.224    1.345   0.1327  hauser__
   241.57090   34.35179  -26.180   24.328    1.164    1.597  -0.0106  may_____
   241.25769   34.56719  -25.684   22.540    1.279    1.219   0.1654  whitaker
   241.67069   34.38589  -25.187   24.262    1.137    1.378   0.0665  port____
   239.39570   35.32461  -29.983   32.406    1.080    1.240  -0.2767  airway__
